id,name,lat,lon
Z1548,Brzózki,52.1048602,20.6777155
Z1549,Grodzisk Mazowiecki Jordanowice,52.1031029,20.6362719
Z1550,Grodzisk Mazowiecki Okrężna,52.1007111,20.6602404
Z1551,Grodzisk Mazowiecki Piaskowa,52.1025166,20.6516105
Z1552,Kanie Helenowskie,52.1316542,20.7743104
Z1553,Komorów,52.1481148,20.8113718
Z1554,Malichy,52.1693938,20.8411745
Z1555,Michałowice,52.175364,20.88126
Z1556,Nowa Wieś Warszawska,52.1404731,20.7955551
Z1557,Opacz,52.1813883,20.9046686
Z1558,Otrębusy,52.1263593,20.7615032
Z1559,Podkowa Leśna Główna,52.1223735,20.7251691
Z1560,Podkowa Leśna Wschodnia,52.1237526,20.738135
Z1561,Podkowa Leśna Zachodnia,52.1207027,20.7113163
Z1562,Polesie,52.1218348,20.6971558
Z1563,Pruszków WKD,52.1616122,20.8165804
Z1564,Reguły,52.1704176,20.8591854
Z1565,Tworki,52.1689418,20.8232513
Z1566,Warszawa Aleje Jerozolimskie WKD,52.2053112,20.9422822
Z1567,Warszawa Raków,52.1944886,20.9358283
Z1568,Warszawa Salomea,52.1864913,20.9245286
Z1569,Warszawa Śródmieście WKD,52.2274779,20.9993834
Z1570,Warszawa Zachodnia WKD,52.2194487,20.9655479
