id,name,lat,lon
1,Aardla,58.357630,26.714580
2,Aegviidu,59.285090,25.613380
3,Aruküla,59.372000,25.078940
4,Eidapere,58.757200,24.939370
5,Elva,58.225220,26.422590
6,Hagudi,59.065540,24.813040
7,Hiiu,59.382976,24.670245
8,Holvandi,58.054930,27.195010
9,Ilumetsa,57.967990,27.410690
10,Jaanika,59.157795,24.317435
11,Jäneda,59.254930,25.707140
12,Järve,59.400628,24.724629
13,Jõgeva,58.748090,26.399540
14,Jõhvi,59.355780,27.404500
15,Kaarepere,58.662590,26.519760
16,Kabala,59.344910,26.675190
17,Kadrina,59.338100,26.145010
18,Kärevere,58.725510,25.518050
19,Kärkna,58.457990,26.659110
20,Käru,58.834130,25.143910
21,Kasemetsa,59.273240,24.676950
22,Keava,58.943170,24.898390
23,Keeni,57.946980,26.239250
24,Kehra,59.336832,25.334973
25,Keila,59.306108,24.417281
26,Kibuna,59.214563,24.293468
27,Kiidjärve,58.128940,26.993980
28,Kiisa,59.238780,24.685450
29,Kiltsi,59.087820,26.176620
30,Kirsi,58.357400,26.715310
31,Kitseküla,59.420099,24.739854
32,Kivimäe,59.377195,24.656900
33,Kiviõli,59.353170,26.965680
34,Klooga,59.320517,24.258023
35,Klooga-Aedlinn,59.324494,24.218020
36,Kloogaranna,59.343637,24.245914
37,Kohila,59.170960,24.743570
38,Kohtla-Nõmme,59.361910,27.189020
39,Koidula,57.837050,27.575380
40,Koogiste,58.793430,24.998660
41,Kulli,59.383452,25.003749
42,Kulna,59.285969,24.353776
43,Laagri,59.354416,24.627653
44,Lagedi,59.399264,24.932458
45,Lahinguvälja,59.314338,25.410766
46,Laitse,59.195155,24.314916
47,Laoküla,59.333272,24.133579
48,Lehtse,59.254372,25.824681
49,Lelle,58.867910,25.006610
50,Liiva,59.387717,24.723226
51,Lilleküla,59.424970,24.728044
52,Lohu,59.115040,24.787400
53,Mägiste,58.010540,26.231180
54,Männiku,59.338941,24.701623
55,Mustjõe,59.298292,25.464714
56,Narva,59.368280,28.200170
57,Nelijärve,59.270810,25.652200
58,Niitvälja,59.314038,24.320400
59,Nõmme,59.386123,24.686660
60,Nõo,58.281500,26.536750
61,Ollepa,58.665990,25.541010
62,Olustvere,58.545460,25.546550
63,Orava,57.919920,27.473400
64,Oru,59.374610,27.575130
65,Pääsküla,59.369583,24.641552
66,Padula,59.337674,24.592028
67,Paldiski,59.344227,24.060732
68,Palupera,58.126910,26.325560
69,Parila,59.356824,25.266966
70,Pärnu,58.372660,24.555410
71,"Pärnu Kaubajaam",58.395180,24.587710
72,Pedja,58.826970,26.345410
73,Peedu,58.237140,26.448470
74,Piusa,57.840040,27.467337
75,Põllküla,59.329039,24.174381
76,Põlva,58.070050,27.091230
77,Puka,58.054960,26.239870
78,Pulli,58.423350,24.666220
79,Püssi,59.358570,27.048560
80,Raasiku,59.365634,25.174527
81,Rahumäe,59.388611,24.702654
82,Rakke,58.990280,26.242760
83,Rakvere,59.357820,26.365510
84,Rapla,58.994180,24.832290
85,Rebase,58.238680,26.809090
86,Reola,58.271730,26.771160
87,Riisipere,59.119444,24.312084
88,Roobuka,59.221050,24.695900
89,Ropka,58.314800,26.628660
90,Ruusa,58.042510,27.273050
91,Saku,59.301330,24.676760
92,Sangaste,57.864000,26.189000
93,Saue,59.324739,24.547484
94,Sonda,59.349460,26.842340
95,Sürgavere,58.487710,25.537090
96,Tabivere,58.551700,26.591600
97,Taevaskoja,58.100883,27.029051
98,Taikse,58.771460,25.472520
99,Tallinn,59.440081,24.736300
100,Tallinn-Väike,59.412921,24.745989
101,Tamsalu,59.159990,26.111750
102,Tapa,59.265470,25.961010
103,Tartu,58.373803,26.706446
104,Tondi,59.410541,24.733239
105,Tootsi,58.564140,24.810990
106,Tõravere,58.260190,26.481580
107,Tori,58.509510,24.795380
108,Türi,58.805070,25.422190
109,Uhti,58.289000,26.728970
110,Ülemiste,59.423329,24.795462
111,Ülenurme,58.310030,26.721440
112,Urda,59.343541,24.612282
113,Vägeva,58.908860,26.278950
114,Vaivara,59.373050,27.767160
115,Valdeku,59.375595,24.720410
116,Valga,57.774580,26.053160
117,Valgemetsa,58.148380,26.967190
118,Valingu,59.311460,24.483849
119,Vana-Kuuste,58.255080,26.784050
120,Vasalemma,59.238138,24.298755
121,Vastse-Kuuste,58.173950,26.931970
122,Veriora,58.006140,27.353560
123,Vesse,59.423073,24.818885
124,Vilivere,59.200960,24.713400
125,Viljandi,58.357218,25.573276
126,Viluvere,58.642310,24.865590
127,Võhma,58.629220,25.561810
128,Karula,57.799208,26.309209
129,Antsla,57.827795,26.533082
130,Sõmerpalu,57.836594,26.801747
131,Võru,57.827222,27.023333
132,Lepassaare,57.843872,27.317483
134,"Ratsimäe ",57.7847,26.1753
135,Mürgi,57.789481,26.248521
136,Karula,57.799030,26.308377
137,Tuulemäe,57.807296,26.393828
138,Anne,57.811080,26.463231
139,Vaabina,57.842958,26.632976
140,Kurenurme,57.838743,26.696091
141,Vagula,57.835340,26.939269
142,Nõnova,57.833482,27.125973
143,Husari,57.840400,27.159949
144,Otsa,57.844813,27.251332
145,Tuderna,57.845683,27.425272
146,Veski,57.834887,27.530800
147,Laane,58.201901,26.879748
148,Kliima,57.856659,27.527177
