id,name,lat,lon
1,Rīga,56.946324,24.121025
2,Zemitāni,56.965189,24.156370
3,Brasa,56.977874,24.145964
4,Sarkandaugava,56.992964,24.134186
5,Mangaļi,57.018630,24.129569
6,Ziemeļblāzma,57.035832,24.114957
7,Vecdaugava,57.057131,24.107102
8,Vecāķi,57.074593,24.115064
9,Kalngale,57.085960,24.151372
10,Garciems,57.101880,24.205613
11,Garupe,57.114496,24.245961
12,Carnikava,57.127545,24.278330
13,Gauja,57.141498,24.287916
14,Lilaste,57.181706,24.335748
15,Inčupe,57.224791,24.397802
16,Pabaži,57.242076,24.408262
17,Saulkrasti,57.268820,24.426662
18,Ķīšupe,57.286439,24.432976
19,Zvejniekciems,57.307151,24.442721
20,Skulte,57.332875,24.462002
21,Čiekurkalns,56.980302,24.168769
22,Jugla,56.992347,24.235644
23,Baltezers,57.019388,24.327066
24,Garkalne,57.046600,24.413577
25,Krievupe,57.064889,24.510331
26,Vangaži,57.078643,24.587787
27,Inčukalns,57.096361,24.687242
28,Egļupe,57.107410,24.741063
29,Silciems,57.125079,24.787113
30,Sigulda,57.153164,24.855541
31,Līgatne,57.184338,25.024199
32,Ieriķi,57.199415,25.173065
33,Melturi,57.207740,25.234661
34,Āraiši,57.238332,25.301942
35,Cēsis,57.313804,25.283269
36,Jāņamuiža,57.344160,25.340274
37,Lode,57.388216,25.414253
38,Bāle,57.458094,25.441333
39,Valmiera,57.522732,25.441294
40,Brenguļi,57.558815,25.558330
41,Strenči,57.634482,25.699286
42,Seda,57.644368,25.750321
43,Saule,57.694318,25.894191
44,Lugaži,57.754049,26.002961
45,Valga,57.774532,26.052916
46,"Vagonu parks",56.943697,24.155779
47,Jāņavārti,56.919054,24.185921
48,Daugmale,56.910304,24.200021
49,Šķirotava,56.904687,24.211131
50,Gaisma,56.894046,24.232111
51,Rumbula,56.883780,24.252374
52,Dārziņi,56.870280,24.280670
53,Dole,56.864343,24.323765
54,Salaspils,56.860502,24.353198
55,Saulkalne,56.849539,24.436102
56,Ikšķile,56.839501,24.506309
57,Jaunogre,56.821731,24.582309
58,Ogre,56.815647,24.602487
59,Pārogre,56.808772,24.616113
60,Ciemupe,56.781781,24.654153
61,Ķegums,56.741158,24.726340
62,Lielvārde,56.722312,24.807861
63,Kaibala,56.703240,24.888518
64,Jumprava,56.679791,24.969608
65,Dendrārijs,56.658911,25.041786
66,Skrīveri,56.646979,25.124263
67,Muldakmens,56.630928,25.208003
68,Aizkraukle,56.622662,25.275224
69,Koknese,56.650948,25.440084
70,Alotene,56.633211,25.584965
71,Pļaviņas,56.617077,25.716983
72,Ozolsala,56.583211,25.790743
73,Krustpils,56.520710,25.859818
74,Trepe,56.438415,26.076064
75,Līvāni,56.350848,26.180759
76,Jersika,56.254219,26.210812
77,Nīcgale,56.135427,26.371742
78,Vabole,56.040630,26.457720
79,Līksna,55.998126,26.452721
80,Daugavpils,55.874794,26.528020
81,Aglona,56.178316,26.890792
82,Kūkas,56.539891,26.058408
83,Mežāre,56.541946,26.252220
84,Atašiene,56.530099,26.408362
85,Stirniene,56.565817,26.637407
86,Varakļāni,56.560667,26.769560
87,Viļāni,56.561077,26.938862
88,Sakstagals,56.536741,27.152237
89,"Rēzekne 2",56.520070,27.345479
90,Taudejāņi,56.532339,27.454669
91,Cirma,56.533990,27.533552
92,Ludza,56.533197,27.721713
93,Istalsna,56.482154,27.830224
94,Nerza,56.430701,27.960043
95,Briģi,56.414551,28.053783
96,Zilupe,56.391516,28.118811
97,Jaunkalsnava,56.687004,25.976552
98,Kalsnava,56.734392,26.018921
99,Mārciena,56.772190,26.097129
100,Madona,56.851035,26.220450
101,Cesvaine,56.958268,26.331789
102,Gulbene,57.183173,26.766376
103,Torņakalns,56.932572,24.089094
104,Zasulauks,56.941086,24.052158
105,Depo,56.946542,24.039185
106,Zolitūde,56.949248,24.022394
107,Imanta,56.950345,24.000068
108,Babīte,56.957240,23.953117
109,Priedaine,56.971839,23.886995
110,Lielupe,56.982143,23.870090
111,Bulduri,56.981206,23.851955
112,Dzintari,56.973611,23.821859
113,Majori,56.971335,23.796936
114,Dubulti,56.969551,23.776608
115,Jaundubulti,56.960980,23.757420
116,Pumpuri,56.959987,23.737098
117,Melluži,56.958883,23.713549
118,Asari,56.957232,23.690141
119,Vaivari,56.955036,23.669115
120,Sloka,56.947465,23.618759
121,Kūdra,56.928603,23.545630
122,Ķemeri,56.937952,23.491208
123,Smārde,56.955046,23.336319
124,Milzkalne,56.970362,23.233654
125,"Tukums 1",56.965909,23.169937
126,"Tukums 2",56.959739,23.115581
127,Atgāzene,56.917104,24.079756
128,"BA Turība",56.910607,24.077152
129,Tīraine,56.886794,24.073829
130,Baloži,56.844514,24.047724
131,Jaunolaine,56.806301,23.984229
132,Olaine,56.786340,23.946089
133,Dalbe,56.741734,23.875493
134,Cena,56.708640,23.833053
135,Ozolnieki,56.685995,23.805661
136,Cukurfabrika,56.653046,23.758568
137,Jelgava,56.641546,23.734509
138,Viesturi,56.615301,23.585127
139,Dobele,56.628935,23.284493
140,Biksti,56.691485,22.980932
141,Brocēni,56.693234,22.570238
142,Saldus,56.685878,22.471094
143,Skrunda,56.680662,22.011568
144,"Liepāja Pasažieru",56.524768,21.017766
