name,lat,lon,uic_ref,osm_id,osm_type
Cents-Hamm,49.6150126,6.1659779,8270280,25609667,node
Noertzange,49.5080338,6.050847,8270800,25923526,node
Paradiso,49.9653607,5.9531842,8271143,246131086,node
Kayl,49.4857693,6.0352682,8270640,269302083,node
Drauffelt,50.0168584,6.0072032,8270360,420756851,node
Rodange,49.5510868,5.8434629,8200940,704409331,node
Volmerange-les-Mines,49.4565582,6.0790095,,718622771,node
Sandweiler-Contern,49.5990906,6.2117485,8270930,1411691251,node
Diekirch,49.8648017,6.1540133,8200126,1573735853,node
Belval Lycée,49.5015555,5.934747,8270135,1676979795,node
Bascharage-Sanem,49.5584333,5.9246001,8270060,2361763085,node
Munsbach,49.6305492,6.2685246,8270780,2361763091,node
Niederkorn,49.5369053,5.8940808,8270790,2361763094,node
Lamadelaine,49.5534157,5.8608746,8200143,3719706037,node
Schifflange,49.5062959,6.0097748,8200630,3719863646,node
Wecker,49.700068,6.3875875,8271080,3720303904,node
Dippach-Reckange,49.5725401,5.995144,8270340,3721698137,node
Leudelange,49.5870299,6.0590174,8270650,3721698138,node
Pétange,49.5543344,5.8796536,,3721698933,node
Schouweiler,49.5735838,5.9602532,8270960,3721698934,node
Tétange,49.4773951,6.0349832,,3724529698,node
Betzdorf,49.6888823,6.3486797,8270210,3725242150,node
Manternach,49.7064542,6.4232973,8270690,3725242151,node
Mertert,49.7032225,6.4793057,8270720,3725242152,node
Roodt,49.6665057,6.3031061,8270890,3725244397,node
Oetrange,49.6027297,6.2580197,8270830,3725816023,node
Wiltz,49.9663637,5.9270829,8200142,3727231072,node
Differdange,49.52253,5.8915895,8200920,3727342905,node
Belval-Rédange,49.5030979,5.9236701,8270130,3727608556,node
Troisvierges,50.1193506,5.9910136,8200136,3727995454,node
Maulusmühle,50.0944381,6.0259328,,3727997606,node
Wilwerwiltz,49.9883021,6.0007319,8271120,3727997833,node
Michelau,49.8966506,6.0922184,8270730,3728214590,node
Goebelsmühle,49.9210564,6.0534791,8270480,3728214639,node
Kautenbach,49.948413,6.0223546,8270630,3728214640,node
Wasserbillig,49.7129031,6.4994052,8200340,3728754132,node
Berchem,49.5427666,6.1338106,8270160,3730323383,node
Cruchten,49.7961925,6.1199998,8270320,3730496689,node
Heisdorf,49.675144,6.1394643,8200112,3730496690,node
Lorentzweiler,49.6983494,6.1402969,8270670,3730496691,node
Schieren,49.829753,6.095329,8270950,3730496870,node
Walferdange,49.6619472,6.1362958,8271060,3730496871,node
Colmar-Berg,49.8151001,6.100953,8270300,3730497335,node
Dommeldange,49.6337994,6.1368137,8270350,3730497336,node
Lintgen,49.7215823,6.1228044,8270660,3730497337,node
Clervaux,50.0615608,6.0246738,8200134,3730912911,node
Merkholtz,49.9568324,5.9815629,8270710,3730912912,node
Mersch,49.7518276,6.1103941,8200110,3732003472,node
Belval-Université,49.499531,5.9462903,8270140,3733227187,node
Belvaux-Soleuvre,49.5151574,5.9259002,8270150,3733227188,node
Burange,49.4923869,6.0861927,8200002,3733314741,node
Dudelange-Ville,49.4834215,6.0830309,8200613,3733360829,node
Dudelange-Usines,49.4726946,6.0793791,8270370,3733361647,node
Dudelange-Centre,49.4786928,6.0821383,8200003,3733361648,node
Kleinbettingen,49.6438044,5.917139,8200520,3734399406,node
Mamer Lycée,49.6183823,6.0296967,8276932,3734422881,node
Mamer,49.6257131,6.0201719,8270680,3734422882,node
Capellen,49.6385071,5.9823816,8270270,3734423238,node
Bertrange-Strassen,49.6129205,6.0604258,8270180,3734674986,node
Hollerich,49.5956369,6.1200199,8270580,3736255004,node
Oberkorn,49.5107334,5.8909346,8270820,3737370912,node
Luxembourg Gare Centrale,49.5999681,6.1342493,8200100,3964570119,node
Ettelbruck,49.8473403,6.1065209,8200120,5072163539,node
Rumelange,49.4603105,6.032671,8270910,5107379363,node
Howald,49.5806013,6.1321121,,5248211590,node
Paradiso,49.9654034,5.953124,,5833068677,node
Dudelange-Ville,49.483378637397706,6.083180481610089,,39250659,relation
Bettembourg,49.516517324653606,6.1016819922195,8200603,131669275,relation
Esch-sur-Alzettte,49.493934073432676,5.985091816328906,8200640,557580603,relation
