stop_id,stop_code,stop_name,stop_lat,stop_lon
1,1,Mangonia Park,26.75874329,-80.07693481
3,3,Lake Worth,26.61614227,-80.06912994
4,4,Boynton Beach,26.55378342,-80.07059479
6,6,Boca Raton,26.3927002,-80.09902954
8,8,Pompano Beach,26.27228546,-80.1348114
9,9,Cypress Creek,26.20119476,-80.15036774
11,11,Fort Lauderdale Airport,26.06165314,-80.16567993
12,12,Sheridan Street,26.03221703,-80.16808319
14,14,Golden Glades,25.92155075,-80.21691895
15,15,Opa-Locka,25.90003586,-80.25269318
16,16,Metrorail Transfer,25.84639359,-80.25962067
17,17,Hialeah Market,25.81123924,-80.25870514
18,18,Miami Airport,25.7959404,-80.2583313
